,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
75959,62.0,71.0,61.0,42.0,50.0,65.0,38.0,65.0,69.0,50.0,66.0,67.0,76.0,76.0,64.0,64.0,72.0,58.0,54.0,63.0,52.0,50.0,69.0,65.0,53.0,58.0,48.0,58.0,57.0,59.0,5.0,7.0,12.0,8.0,5.0
75965,60.0,69.0,57.0,20.0,58.0,62.0,34.0,50.0,46.0,43.0,57.0,56.0,72.0,57.0,55.0,59.0,62.0,55.0,56.0,61.0,64.0,54.0,70.0,40.0,19.0,51.0,40.0,57.0,65.0,60.0,6.0,9.0,11.0,6.0,10.0
75971,65.0,65.0,44.0,39.0,53.0,67.0,29.0,59.0,56.0,65.0,66.0,63.0,51.0,55.0,56.0,65.0,77.0,44.0,64.0,87.0,71.0,63.0,72.0,64.0,50.0,68.0,55.0,60.0,65.0,64.0,11.0,10.0,14.0,15.0,14.0
75988,73.0,73.0,65.0,47.0,65.0,78.0,43.0,69.0,60.0,62.0,76.0,72.0,53.0,64.0,69.0,70.0,65.0,67.0,68.0,67.0,69.0,59.0,79.0,72.0,59.0,74.0,63.0,70.0,73.0,67.0,12.0,11.0,15.0,13.0,15.0
76008,60.0,60.0,48.0,63.0,67.0,60.0,61.0,53.0,53.0,65.0,45.0,61.0,26.0,29.0,48.0,62.0,55.0,67.0,56.0,52.0,80.0,63.0,72.0,32.0,64.0,55.0,73.0,24.0,25.0,25.0,9.0,7.0,7.0,6.0,7.0
76025,57.0,57.0,59.0,45.0,59.0,61.0,56.0,55.0,58.0,63.0,56.0,54.0,53.0,64.0,70.0,56.0,55.0,59.0,70.0,70.0,90.0,57.0,63.0,49.0,59.0,58.0,63.0,51.0,53.0,53.0,6.0,13.0,16.0,16.0,10.0
76051,72.0,73.0,54.0,33.0,70.0,68.0,27.0,59.0,47.0,44.0,61.0,63.0,69.0,77.0,72.0,67.0,71.0,36.0,83.0,65.0,74.0,31.0,72.0,68.0,44.0,49.0,52.0,73.0,76.0,76.0,11.0,12.0,12.0,14.0,13.0
76073,65.0,69.0,35.0,67.0,68.0,46.0,62.0,63.0,61.0,61.0,49.0,61.0,70.0,73.0,70.0,64.0,54.0,66.0,83.0,81.0,82.0,62.0,64.0,32.0,62.0,46.0,64.0,15.0,19.0,18.0,7.0,15.0,11.0,11.0,13.0
76096,75.0,75.0,38.0,38.0,81.0,59.0,36.0,38.0,29.0,64.0,65.0,59.0,51.0,34.0,33.0,72.0,34.0,70.0,62.0,67.0,85.0,51.0,84.0,75.0,34.0,58.0,51.0,74.0,78.0,77.0,15.0,12.0,10.0,15.0,11.0
76116,58.0,65.0,43.0,43.0,44.0,65.0,36.0,59.0,34.0,39.0,60.0,62.0,66.0,65.0,71.0,61.0,62.0,52.0,58.0,70.0,58.0,33.0,59.0,49.0,54.0,61.0,37.0,40.0,47.0,45.0,11.0,7.0,13.0,15.0,6.0
76124,66.0,68.0,63.0,60.0,33.0,61.0,55.0,70.0,66.0,67.0,54.0,68.0,82.0,81.0,90.0,59.0,86.0,72.0,81.0,68.0,56.0,56.0,27.0,21.0,60.0,64.0,64.0,22.0,37.0,24.0,13.0,10.0,7.0,8.0,13.0
76141,62.0,64.0,50.0,46.0,52.0,63.0,64.0,57.0,48.0,59.0,62.0,61.0,58.0,55.0,70.0,57.0,68.0,66.0,83.0,80.0,75.0,65.0,76.0,69.0,60.0,62.0,46.0,50.0,58.0,61.0,14.0,9.0,6.0,16.0,9.0
76171,60.0,60.0,55.0,59.0,67.0,63.0,57.0,61.0,55.0,55.0,57.0,61.0,74.0,70.0,71.0,57.0,65.0,63.0,81.0,81.0,70.0,55.0,51.0,41.0,50.0,58.0,65.0,23.0,22.0,25.0,5.0,15.0,12.0,13.0,13.0
76185,70.0,75.0,69.0,64.0,47.0,65.0,55.0,74.0,67.0,61.0,62.0,74.0,84.0,90.0,91.0,66.0,81.0,72.0,70.0,66.0,59.0,61.0,34.0,15.0,68.0,66.0,68.0,27.0,23.0,15.0,12.0,10.0,8.0,9.0,9.0
76207,59.0,59.0,60.0,25.0,65.0,61.0,25.0,62.0,36.0,42.0,57.0,62.0,65.0,67.0,61.0,63.0,81.0,34.0,90.0,70.0,73.0,21.0,66.0,62.0,52.0,62.0,25.0,60.0,62.0,58.0,5.0,5.0,7.0,15.0,14.0
76219,60.0,68.0,63.0,10.0,62.0,62.0,35.0,52.0,52.0,32.0,53.0,57.0,65.0,68.0,62.0,62.0,66.0,35.0,66.0,68.0,67.0,10.0,59.0,55.0,49.0,59.0,11.0,57.0,62.0,53.0,9.0,6.0,10.0,9.0,7.0
76225,60.0,66.0,61.0,58.0,52.0,56.0,55.0,61.0,26.0,35.0,41.0,64.0,66.0,69.0,71.0,57.0,70.0,74.0,51.0,59.0,43.0,64.0,25.0,28.0,56.0,63.0,53.0,25.0,25.0,25.0,15.0,15.0,8.0,6.0,9.0
76228,76.0,76.0,66.0,56.0,60.0,78.0,51.0,72.0,54.0,69.0,76.0,79.0,67.0,64.0,75.0,74.0,78.0,65.0,53.0,79.0,73.0,61.0,81.0,75.0,71.0,71.0,69.0,73.0,74.0,71.0,1.0,1.0,1.0,1.0,1.0
76246,80.0,83.0,68.0,65.0,63.0,82.0,61.0,78.0,64.0,64.0,83.0,77.0,75.0,69.0,66.0,75.0,71.0,67.0,66.0,91.0,78.0,73.0,79.0,79.0,69.0,75.0,60.0,81.0,79.0,78.0,12.0,11.0,8.0,10.0,13.0
76267,73.0,74.0,73.0,67.0,71.0,69.0,59.0,78.0,68.0,66.0,65.0,73.0,74.0,79.0,75.0,71.0,73.0,69.0,72.0,79.0,70.0,65.0,78.0,51.0,73.0,70.0,65.0,59.0,56.0,60.0,6.0,16.0,16.0,15.0,15.0
76293,66.0,66.0,70.0,62.0,60.0,65.0,67.0,67.0,66.0,71.0,63.0,69.0,63.0,58.0,65.0,71.0,69.0,74.0,62.0,61.0,64.0,65.0,72.0,42.0,68.0,72.0,71.0,25.0,33.0,32.0,10.0,7.0,7.0,9.0,9.0
76321,63.0,63.0,24.0,49.0,69.0,67.0,35.0,44.0,25.0,69.0,58.0,57.0,65.0,43.0,57.0,59.0,49.0,43.0,83.0,32.0,87.0,36.0,65.0,51.0,24.0,44.0,64.0,61.0,60.0,54.0,10.0,15.0,7.0,14.0,13.0
76341,80.0,80.0,86.0,68.0,69.0,85.0,79.0,77.0,81.0,79.0,82.0,78.0,72.0,70.0,71.0,84.0,73.0,87.0,64.0,91.0,71.0,81.0,71.0,72.0,77.0,78.0,81.0,67.0,68.0,70.0,1.0,1.0,1.0,1.0,1.0
76377,74.0,74.0,83.0,72.0,54.0,78.0,83.0,78.0,64.0,63.0,73.0,77.0,69.0,68.0,77.0,75.0,77.0,80.0,51.0,77.0,59.0,78.0,69.0,59.0,73.0,74.0,69.0,55.0,60.0,64.0,11.0,6.0,11.0,16.0,10.0
76401,70.0,70.0,66.0,49.0,68.0,66.0,42.0,64.0,47.0,37.0,64.0,65.0,68.0,66.0,62.0,68.0,71.0,53.0,71.0,73.0,66.0,44.0,71.0,69.0,61.0,61.0,51.0,74.0,73.0,74.0,10.0,7.0,9.0,9.0,8.0
76430,87.0,93.0,88.0,85.0,68.0,84.0,91.0,87.0,82.0,86.0,80.0,85.0,78.0,78.0,83.0,85.0,74.0,86.0,55.0,73.0,71.0,87.0,74.0,58.0,83.0,87.0,81.0,25.0,47.0,30.0,15.0,15.0,15.0,5.0,14.0
76452,75.0,76.0,45.0,29.0,78.0,61.0,28.0,50.0,33.0,31.0,60.0,58.0,64.0,61.0,51.0,73.0,53.0,40.0,74.0,75.0,76.0,29.0,73.0,74.0,45.0,50.0,43.0,77.0,79.0,80.0,11.0,8.0,6.0,9.0,14.0
76474,72.0,73.0,70.0,63.0,56.0,73.0,70.0,72.0,78.0,69.0,67.0,77.0,77.0,69.0,75.0,70.0,69.0,75.0,69.0,69.0,69.0,75.0,46.0,43.0,70.0,74.0,69.0,22.0,40.0,38.0,12.0,10.0,14.0,6.0,13.0
76503,69.0,69.0,55.0,67.0,69.0,61.0,66.0,63.0,55.0,48.0,44.0,64.0,78.0,81.0,77.0,68.0,52.0,74.0,83.0,63.0,75.0,65.0,83.0,46.0,71.0,53.0,68.0,29.0,45.0,34.0,16.0,10.0,11.0,16.0,8.0
76536,63.0,65.0,47.0,54.0,44.0,66.0,43.0,66.0,40.0,42.0,58.0,64.0,64.0,64.0,73.0,64.0,72.0,54.0,73.0,74.0,71.0,50.0,59.0,43.0,57.0,65.0,58.0,34.0,44.0,41.0,10.0,16.0,16.0,13.0,11.0
76553,75.0,83.0,88.0,53.0,57.0,81.0,51.0,71.0,86.0,79.0,80.0,78.0,70.0,68.0,74.0,73.0,79.0,74.0,68.0,76.0,64.0,70.0,67.0,65.0,61.0,82.0,64.0,55.0,65.0,62.0,12.0,12.0,10.0,15.0,15.0
76581,63.0,63.0,61.0,42.0,49.0,65.0,38.0,58.0,59.0,63.0,59.0,65.0,71.0,64.0,74.0,69.0,83.0,63.0,71.0,82.0,77.0,60.0,69.0,63.0,54.0,59.0,63.0,59.0,65.0,69.0,9.0,12.0,15.0,9.0,7.0
76598,67.0,77.0,45.0,69.0,60.0,59.0,54.0,67.0,48.0,42.0,52.0,68.0,79.0,79.0,62.0,66.0,69.0,65.0,63.0,69.0,65.0,59.0,32.0,22.0,69.0,58.0,67.0,16.0,23.0,24.0,9.0,15.0,14.0,8.0,16.0
76613,58.0,65.0,48.0,35.0,63.0,65.0,50.0,52.0,23.0,39.0,59.0,64.0,71.0,70.0,63.0,64.0,80.0,38.0,54.0,71.0,70.0,34.0,68.0,61.0,25.0,64.0,35.0,39.0,62.0,45.0,7.0,10.0,6.0,7.0,13.0
76623,63.0,63.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,25.0,25.0,20.0,51.0,53.0,30.0,65.0,34.0,25.0,62.0,38.0,71.0,25.0,40.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,65.0,61.0,64.0,63.0,64.0
76643,77.0,77.0,42.0,31.0,81.0,61.0,29.0,31.0,29.0,30.0,53.0,51.0,31.0,33.0,48.0,71.0,57.0,46.0,66.0,62.0,80.0,28.0,82.0,83.0,36.0,59.0,38.0,82.0,76.0,80.0,15.0,13.0,8.0,14.0,15.0
76660,67.0,67.0,63.0,53.0,62.0,65.0,25.0,60.0,56.0,57.0,66.0,67.0,53.0,66.0,61.0,65.0,71.0,65.0,91.0,87.0,72.0,41.0,83.0,63.0,54.0,59.0,72.0,65.0,64.0,62.0,7.0,6.0,16.0,8.0,10.0
76682,65.0,65.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,36.0,25.0,31.0,34.0,46.0,69.0,37.0,20.0,66.0,28.0,63.0,25.0,25.0,21.0,25.0,25.0,24.0,25.0,25.0,25.0,65.0,63.0,54.0,65.0,67.0
76699,67.0,67.0,12.0,17.0,14.0,28.0,12.0,16.0,15.0,15.0,22.0,18.0,22.0,21.0,49.0,50.0,36.0,20.0,57.0,43.0,58.0,13.0,22.0,24.0,12.0,42.0,15.0,14.0,14.0,15.0,73.0,60.0,63.0,67.0,77.0
76719,69.0,69.0,63.0,68.0,68.0,66.0,59.0,69.0,60.0,42.0,51.0,67.0,76.0,72.0,70.0,74.0,75.0,68.0,73.0,91.0,67.0,64.0,74.0,49.0,69.0,64.0,71.0,51.0,59.0,53.0,10.0,15.0,7.0,7.0,13.0
76744,60.0,66.0,53.0,55.0,40.0,61.0,40.0,60.0,49.0,51.0,55.0,62.0,70.0,67.0,72.0,55.0,73.0,56.0,53.0,63.0,34.0,51.0,59.0,53.0,60.0,60.0,44.0,47.0,57.0,55.0,10.0,5.0,11.0,8.0,5.0
76751,62.0,75.0,34.0,70.0,68.0,52.0,38.0,58.0,39.0,54.0,42.0,60.0,68.0,64.0,61.0,66.0,57.0,58.0,67.0,64.0,63.0,51.0,32.0,22.0,35.0,53.0,48.0,12.0,12.0,11.0,14.0,14.0,11.0,13.0,11.0
76756,69.0,71.0,64.0,65.0,49.0,66.0,66.0,71.0,63.0,57.0,63.0,67.0,84.0,82.0,74.0,64.0,74.0,68.0,73.0,81.0,69.0,67.0,56.0,47.0,66.0,64.0,76.0,24.0,45.0,36.0,16.0,16.0,16.0,11.0,15.0
76779,62.0,66.0,62.0,51.0,49.0,63.0,28.0,60.0,51.0,55.0,67.0,62.0,48.0,46.0,69.0,54.0,72.0,53.0,63.0,65.0,65.0,55.0,46.0,51.0,58.0,69.0,61.0,55.0,60.0,59.0,16.0,11.0,6.0,6.0,14.0
76805,68.0,68.0,66.0,61.0,50.0,72.0,69.0,66.0,68.0,73.0,73.0,71.0,50.0,51.0,50.0,68.0,63.0,76.0,63.0,53.0,73.0,72.0,72.0,58.0,69.0,70.0,59.0,57.0,62.0,64.0,9.0,12.0,15.0,8.0,16.0
76831,62.0,66.0,56.0,46.0,57.0,60.0,17.0,56.0,49.0,45.0,49.0,58.0,71.0,72.0,63.0,54.0,70.0,53.0,63.0,80.0,70.0,24.0,55.0,58.0,33.0,45.0,45.0,59.0,61.0,60.0,14.0,9.0,6.0,9.0,10.0
76851,61.0,71.0,38.0,29.0,61.0,59.0,33.0,50.0,29.0,39.0,52.0,54.0,68.0,66.0,57.0,47.0,65.0,42.0,65.0,57.0,73.0,32.0,56.0,56.0,39.0,38.0,46.0,62.0,62.0,61.0,14.0,7.0,11.0,16.0,8.0
76871,65.0,65.0,73.0,56.0,46.0,69.0,61.0,58.0,75.0,67.0,67.0,69.0,61.0,55.0,57.0,67.0,71.0,70.0,47.0,53.0,56.0,61.0,61.0,38.0,67.0,71.0,59.0,39.0,48.0,34.0,6.0,7.0,13.0,8.0,10.0
76887,79.0,79.0,63.0,82.0,64.0,66.0,75.0,76.0,52.0,48.0,48.0,75.0,91.0,93.0,76.0,82.0,79.0,84.0,70.0,90.0,69.0,68.0,91.0,51.0,83.0,69.0,76.0,54.0,58.0,56.0,15.0,14.0,7.0,15.0,11.0
76917,68.0,74.0,61.0,63.0,45.0,66.0,53.0,71.0,60.0,56.0,62.0,68.0,81.0,81.0,82.0,57.0,80.0,52.0,61.0,78.0,57.0,57.0,38.0,31.0,66.0,65.0,48.0,41.0,45.0,37.0,12.0,13.0,14.0,15.0,6.0
76938,48.0,67.0,38.0,23.0,40.0,26.0,31.0,59.0,30.0,30.0,22.0,31.0,66.0,59.0,53.0,47.0,61.0,30.0,59.0,56.0,50.0,24.0,55.0,48.0,37.0,34.0,39.0,46.0,57.0,52.0,7.0,11.0,6.0,9.0,7.0
76942,60.0,72.0,29.0,19.0,56.0,41.0,20.0,40.0,23.0,26.0,38.0,46.0,65.0,73.0,59.0,56.0,54.0,25.0,74.0,56.0,70.0,23.0,56.0,61.0,26.0,31.0,32.0,60.0,65.0,62.0,11.0,13.0,16.0,7.0,9.0
76951,64.0,69.0,57.0,61.0,61.0,60.0,60.0,64.0,68.0,67.0,58.0,63.0,77.0,80.0,73.0,65.0,68.0,66.0,68.0,71.0,67.0,65.0,52.0,43.0,63.0,53.0,67.0,32.0,29.0,29.0,14.0,12.0,5.0,5.0,10.0
76959,75.0,75.0,46.0,22.0,82.0,61.0,33.0,54.0,42.0,67.0,58.0,62.0,47.0,47.0,70.0,67.0,52.0,82.0,74.0,70.0,84.0,53.0,65.0,76.0,20.0,56.0,14.0,78.0,76.0,78.0,7.0,16.0,7.0,8.0,15.0
76978,70.0,70.0,65.0,68.0,50.0,71.0,62.0,70.0,74.0,68.0,68.0,71.0,76.0,72.0,78.0,69.0,81.0,73.0,71.0,83.0,72.0,66.0,74.0,52.0,70.0,67.0,61.0,51.0,50.0,39.0,15.0,7.0,9.0,12.0,9.0
76997,75.0,79.0,56.0,33.0,84.0,78.0,36.0,54.0,44.0,23.0,73.0,66.0,67.0,74.0,46.0,75.0,40.0,48.0,56.0,63.0,78.0,41.0,73.0,79.0,37.0,68.0,43.0,78.0,79.0,72.0,11.0,13.0,12.0,7.0,9.0
77025,67.0,75.0,71.0,57.0,64.0,70.0,37.0,71.0,53.0,28.0,66.0,73.0,69.0,71.0,66.0,65.0,69.0,57.0,69.0,68.0,67.0,47.0,66.0,69.0,55.0,72.0,56.0,66.0,65.0,66.0,6.0,5.0,9.0,5.0,9.0
77033,68.0,72.0,77.0,47.0,57.0,68.0,42.0,64.0,73.0,64.0,72.0,67.0,68.0,69.0,73.0,61.0,53.0,69.0,65.0,78.0,62.0,56.0,69.0,64.0,70.0,66.0,45.0,66.0,69.0,67.0,14.0,15.0,14.0,10.0,10.0
77061,71.0,73.0,72.0,66.0,58.0,75.0,74.0,73.0,64.0,67.0,73.0,74.0,62.0,54.0,75.0,72.0,74.0,70.0,53.0,55.0,66.0,74.0,64.0,60.0,71.0,72.0,69.0,43.0,58.0,55.0,8.0,13.0,6.0,12.0,8.0
77079,68.0,68.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,28.0,23.0,41.0,42.0,48.0,70.0,52.0,25.0,71.0,32.0,62.0,25.0,32.0,23.0,25.0,25.0,40.0,25.0,25.0,25.0,71.0,68.0,63.0,62.0,73.0
77094,82.0,86.0,13.0,11.0,15.0,29.0,13.0,12.0,13.0,14.0,26.0,16.0,43.0,60.0,67.0,79.0,49.0,22.0,76.0,41.0,78.0,12.0,44.0,19.0,11.0,55.0,11.0,14.0,12.0,18.0,79.0,84.0,73.0,84.0,83.0
77119,67.0,67.0,53.0,47.0,60.0,68.0,66.0,50.0,58.0,48.0,63.0,68.0,34.0,33.0,57.0,68.0,63.0,80.0,68.0,56.0,72.0,58.0,80.0,73.0,46.0,59.0,46.0,65.0,68.0,64.0,12.0,14.0,16.0,11.0,11.0
77147,61.0,64.0,46.0,31.0,52.0,44.0,33.0,46.0,42.0,26.0,48.0,45.0,40.0,33.0,46.0,48.0,56.0,54.0,64.0,75.0,75.0,47.0,53.0,62.0,44.0,42.0,45.0,69.0,61.0,67.0,6.0,10.0,13.0,12.0,8.0
77159,72.0,74.0,57.0,57.0,77.0,70.0,55.0,63.0,43.0,59.0,64.0,70.0,68.0,67.0,62.0,71.0,72.0,70.0,71.0,79.0,73.0,64.0,68.0,63.0,20.0,66.0,71.0,74.0,75.0,72.0,10.0,12.0,10.0,5.0,14.0
77167,71.0,71.0,68.0,66.0,66.0,72.0,71.0,73.0,73.0,53.0,67.0,72.0,66.0,68.0,73.0,75.0,66.0,71.0,68.0,62.0,65.0,70.0,57.0,37.0,74.0,74.0,58.0,31.0,34.0,35.0,32.0,26.0,41.0,18.0,22.0
77190,73.0,73.0,69.0,68.0,44.0,77.0,70.0,75.0,80.0,71.0,62.0,77.0,76.0,69.0,78.0,76.0,77.0,74.0,58.0,58.0,51.0,70.0,37.0,24.0,74.0,77.0,70.0,25.0,25.0,25.0,6.0,10.0,10.0,5.0,14.0
77217,64.0,64.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,29.0,25.0,49.0,42.0,39.0,55.0,43.0,24.0,45.0,34.0,47.0,25.0,25.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0,66.0,63.0,59.0,64.0,67.0
77228,70.0,78.0,73.0,67.0,50.0,76.0,72.0,74.0,74.0,77.0,71.0,75.0,66.0,65.0,70.0,68.0,68.0,72.0,61.0,64.0,69.0,66.0,57.0,37.0,67.0,73.0,71.0,33.0,39.0,35.0,15.0,8.0,11.0,7.0,11.0
77236,71.0,71.0,33.0,22.0,75.0,69.0,47.0,50.0,37.0,36.0,59.0,65.0,66.0,73.0,57.0,70.0,58.0,57.0,67.0,34.0,74.0,27.0,67.0,74.0,18.0,53.0,53.0,70.0,73.0,70.0,12.0,15.0,12.0,10.0,13.0
77266,71.0,71.0,44.0,74.0,83.0,63.0,67.0,58.0,53.0,63.0,43.0,70.0,47.0,52.0,44.0,69.0,42.0,80.0,56.0,65.0,88.0,70.0,60.0,46.0,75.0,64.0,82.0,23.0,41.0,38.0,11.0,6.0,15.0,7.0,5.0
77274,82.0,82.0,68.0,60.0,82.0,75.0,52.0,66.0,58.0,73.0,74.0,74.0,69.0,72.0,68.0,80.0,55.0,86.0,80.0,79.0,81.0,68.0,83.0,83.0,65.0,62.0,68.0,81.0,85.0,81.0,6.0,10.0,9.0,12.0,7.0
77301,64.0,66.0,35.0,47.0,37.0,70.0,46.0,67.0,42.0,49.0,59.0,67.0,67.0,61.0,66.0,66.0,77.0,45.0,77.0,61.0,59.0,45.0,51.0,42.0,62.0,70.0,46.0,33.0,33.0,25.0,12.0,15.0,6.0,6.0,11.0
77311,60.0,64.0,42.0,30.0,58.0,59.0,28.0,33.0,47.0,54.0,55.0,46.0,63.0,65.0,61.0,58.0,60.0,32.0,64.0,73.0,67.0,34.0,65.0,55.0,32.0,52.0,51.0,63.0,61.0,60.0,8.0,11.0,12.0,14.0,15.0
77318,68.0,68.0,47.0,31.0,72.0,63.0,24.0,45.0,56.0,67.0,57.0,64.0,33.0,31.0,32.0,66.0,47.0,73.0,67.0,42.0,83.0,57.0,65.0,65.0,53.0,51.0,42.0,70.0,68.0,65.0,15.0,7.0,8.0,13.0,10.0
77342,72.0,72.0,61.0,53.0,69.0,79.0,42.0,62.0,80.0,74.0,72.0,74.0,40.0,37.0,62.0,73.0,61.0,75.0,82.0,71.0,70.0,74.0,65.0,69.0,66.0,68.0,66.0,79.0,77.0,71.0,6.0,15.0,10.0,7.0,6.0
77366,73.0,73.0,48.0,27.0,80.0,68.0,35.0,42.0,35.0,57.0,66.0,62.0,55.0,53.0,38.0,71.0,46.0,58.0,66.0,66.0,76.0,32.0,76.0,67.0,34.0,57.0,65.0,76.0,76.0,71.0,12.0,7.0,11.0,11.0,11.0
77387,63.0,63.0,36.0,36.0,66.0,57.0,36.0,45.0,38.0,56.0,56.0,49.0,38.0,45.0,30.0,63.0,49.0,68.0,50.0,52.0,80.0,57.0,76.0,65.0,38.0,45.0,60.0,60.0,60.0,61.0,8.0,12.0,7.0,15.0,6.0
77396,65.0,65.0,49.0,41.0,63.0,64.0,38.0,51.0,36.0,31.0,58.0,63.0,68.0,68.0,67.0,68.0,69.0,61.0,75.0,72.0,64.0,43.0,68.0,63.0,50.0,47.0,46.0,67.0,68.0,70.0,8.0,14.0,13.0,13.0,11.0
77426,67.0,70.0,46.0,38.0,67.0,68.0,39.0,72.0,43.0,47.0,65.0,70.0,76.0,78.0,75.0,57.0,64.0,80.0,75.0,91.0,75.0,51.0,83.0,69.0,63.0,56.0,50.0,60.0,65.0,64.0,12.0,9.0,12.0,6.0,6.0
77446,64.0,70.0,59.0,36.0,64.0,63.0,32.0,62.0,46.0,59.0,59.0,61.0,68.0,69.0,67.0,67.0,62.0,72.0,52.0,64.0,67.0,45.0,66.0,61.0,46.0,56.0,52.0,64.0,68.0,60.0,15.0,8.0,13.0,11.0,9.0
77474,59.0,68.0,54.0,43.0,41.0,62.0,40.0,62.0,35.0,29.0,52.0,68.0,81.0,82.0,72.0,55.0,85.0,70.0,73.0,65.0,74.0,61.0,61.0,52.0,57.0,44.0,43.0,58.0,63.0,59.0,8.0,6.0,6.0,14.0,11.0
77481,68.0,75.0,39.0,38.0,57.0,74.0,42.0,67.0,39.0,33.0,57.0,66.0,77.0,75.0,82.0,65.0,75.0,56.0,73.0,85.0,63.0,44.0,70.0,72.0,55.0,65.0,44.0,57.0,71.0,62.0,15.0,10.0,8.0,16.0,13.0
77489,65.0,74.0,56.0,49.0,56.0,79.0,56.0,63.0,66.0,75.0,74.0,71.0,55.0,71.0,57.0,57.0,78.0,69.0,77.0,58.0,38.0,41.0,50.0,32.0,56.0,68.0,65.0,52.0,55.0,58.0,10.0,12.0,12.0,15.0,7.0
77496,59.0,66.0,37.0,57.0,63.0,55.0,40.0,59.0,41.0,43.0,45.0,60.0,64.0,70.0,63.0,57.0,63.0,66.0,70.0,69.0,60.0,50.0,52.0,23.0,60.0,40.0,52.0,25.0,37.0,30.0,11.0,6.0,7.0,14.0,12.0
77503,59.0,67.0,58.0,21.0,46.0,58.0,31.0,46.0,26.0,34.0,52.0,52.0,78.0,72.0,76.0,62.0,79.0,55.0,73.0,61.0,57.0,38.0,63.0,53.0,39.0,46.0,38.0,61.0,61.0,62.0,14.0,6.0,8.0,14.0,11.0
77509,77.0,82.0,46.0,34.0,86.0,69.0,39.0,49.0,41.0,40.0,61.0,56.0,47.0,46.0,31.0,74.0,29.0,81.0,34.0,64.0,94.0,47.0,81.0,80.0,43.0,50.0,43.0,74.0,83.0,73.0,16.0,11.0,11.0,15.0,10.0
77532,62.0,62.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.0,25.0,25.0,24.0,52.0,26.0,25.0,21.0,28.0,41.0,25.0,20.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,64.0,61.0,55.0,62.0,64.0
77541,61.0,71.0,48.0,32.0,56.0,64.0,34.0,51.0,47.0,46.0,54.0,55.0,64.0,67.0,66.0,55.0,80.0,54.0,74.0,82.0,44.0,35.0,72.0,63.0,34.0,49.0,46.0,57.0,66.0,60.0,12.0,10.0,10.0,6.0,11.0
77543,69.0,72.0,64.0,55.0,43.0,63.0,57.0,75.0,68.0,47.0,58.0,71.0,94.0,92.0,92.0,66.0,87.0,58.0,36.0,74.0,38.0,49.0,45.0,51.0,60.0,62.0,46.0,27.0,23.0,25.0,14.0,7.0,11.0,11.0,8.0
77554,80.0,80.0,46.0,38.0,83.0,57.0,27.0,54.0,30.0,35.0,53.0,60.0,55.0,69.0,34.0,76.0,34.0,67.0,70.0,69.0,88.0,37.0,84.0,82.0,30.0,51.0,57.0,83.0,85.0,80.0,7.0,16.0,11.0,16.0,7.0
77583,65.0,74.0,49.0,67.0,73.0,65.0,59.0,51.0,53.0,46.0,52.0,60.0,62.0,65.0,56.0,53.0,52.0,71.0,66.0,63.0,75.0,68.0,60.0,23.0,68.0,49.0,61.0,21.0,25.0,24.0,10.0,16.0,15.0,8.0,9.0
77594,61.0,73.0,57.0,29.0,44.0,64.0,31.0,67.0,33.0,41.0,59.0,64.0,69.0,72.0,82.0,62.0,57.0,49.0,59.0,61.0,34.0,31.0,59.0,45.0,60.0,71.0,41.0,45.0,50.0,59.0,5.0,5.0,7.0,14.0,8.0
77600,64.0,65.0,66.0,58.0,51.0,65.0,49.0,65.0,60.0,63.0,63.0,64.0,67.0,68.0,66.0,65.0,75.0,59.0,63.0,68.0,67.0,57.0,62.0,44.0,61.0,63.0,54.0,32.0,34.0,35.0,10.0,6.0,16.0,6.0,12.0
77610,76.0,76.0,13.0,14.0,12.0,35.0,19.0,15.0,12.0,12.0,33.0,22.0,36.0,40.0,39.0,78.0,35.0,22.0,52.0,28.0,69.0,15.0,23.0,14.0,8.0,28.0,24.0,14.0,13.0,13.0,76.0,77.0,50.0,75.0,83.0
77636,66.0,70.0,60.0,65.0,46.0,63.0,60.0,68.0,57.0,47.0,50.0,65.0,87.0,87.0,75.0,53.0,76.0,41.0,48.0,40.0,57.0,53.0,31.0,25.0,63.0,51.0,53.0,23.0,28.0,35.0,6.0,12.0,9.0,15.0,13.0
77648,75.0,75.0,70.0,61.0,65.0,84.0,63.0,75.0,74.0,74.0,80.0,80.0,51.0,51.0,65.0,75.0,68.0,68.0,61.0,54.0,55.0,71.0,63.0,59.0,70.0,82.0,69.0,55.0,61.0,53.0,6.0,8.0,8.0,7.0,8.0
